group,group_mean,group_median,default_rate,sample_size,ci_95,group_label
"(43550.699, 273593.9]",178283.8350292661,175328.5,0.17874831157136425,2221,0.01593459038293315,第1组
"(273593.9, 445120.7]",405932.2998237886,439539.7,0.17312775330396477,2270,0.015564877143538245,第2组
"(445120.7, 768722.9]",663722.4483516484,720881.5,0.17450549450549452,2275,0.015596495247213673,第3组
"(768722.9, 1410447.8]",1358605.4038781163,1323400.8,0.1628808864265928,1805,0.017035157740858977,第4组
"(1410447.8, 2144089.6]",2144089.6,2144089.6,0.16050054406964093,1838,0.016781538816078814,第5组
