group,group_mean,group_median,default_rate,sample_size,ci_95,group_label
"(15999.999, 39492.0]",29796.284048991354,30500.0,0.20076849183477424,2082,0.017206787110189456,第1组
"(39492.0, 52000.0]",45653.218260869566,45000.0,0.1826086956521739,2185,0.01619966689667312,第2组
"(52000.0, 68000.0]",59939.6089765352,60000.0,0.17423864203694459,2003,0.016611739556619827,第3组
"(68000.0, 90000.0]",78491.82914965985,78000.0,0.16423712342079688,2058,0.01600702374983192,第4组
"(90000.0, 220000.0]",127843.85156174915,118000.0,0.13070639115809707,2081,0.014482771759292284,第5组
