group,group_mean,group_median,default_rate,sample_size,ci_95,group_label
"(5.999, 8.9]",7.530597758405977,7.62,0.07264425072644251,2409,0.010364813215996091,第1组
"(8.9, 12.12]",11.179591457753018,10.74,0.127669452181987,2154,0.014093448079693174,第2组
"(12.12, 13.99]",13.593195435092724,13.67,0.17498811222063718,2103,0.01623943110996608,第3组
"(13.99, 17.27]",15.61535593220339,15.31,0.20225988700564973,1770,0.01871350051589498,第4组
"(17.27, 24.89]",19.94569183983781,19.22,0.30410542321338063,1973,0.020299079164875413,第5组
